,Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2020,2021,CD_code
29,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,84,59,105,55,29,34,102
30,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,46,35,60,19,10,12,102
31,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,13,11,29,24,14,18,102
32,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,21.0,11.7,10.1,102
33,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,239,140,132,102
34,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,3,1,2,,,,102
35,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.0%,11.3%,0.1%,0.0%,,102
36,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,6.7%,0.7%,0.9%,0.3%,,102
37,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,21.9%,0.8%,1.1%,0.5%,,102
38,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,48.4,44.1,26.2,26.4,,102
39,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,19.1%,3.7%,6.0%,6.4%,,102
40,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,3.0%,34.2%,2.0%,2.0%,,102
41,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,30.6,29.4,21.7,41.5,,102
42,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,20,21,22,13,18,20,102
43,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,172,135,63,55,61,92,102
44,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,27,62,31,31,23,36,102
45,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,42,351,641,331,301,773,102
46,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,261,569,757,430,403,921,102
47,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Median sales price per unit, 1 family building (2021$)",The median price per unit for one unit buildings.,,"$2,892,570","$2,709,270","$3,467,740","$3,680,650","$3,250,000",102
48,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Median sales price per unit, 2-4 family building (2021$)",The median price per unit for two- to four-unit buildings.,,"$738,370","$523,850","$1,085,860","$935,010","$1,167,500",102
49,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Median sales price per unit, 5+ family building (2021$)",The median price per unit for multifamily buildings.,,"$191,310","$147,360","$417,580","$464,190","$471,630",102
50,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Median sales price per unit, condominium (2021$)",The median price per unit for condominiums.,,"$954,650","$741,420","$1,313,540","$1,188,140","$1,175,000",102
51,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,200.0,227.6,318.3,543.5,495.7,102
52,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,270.2,224.4,582.0,528.1,548.7,102
53,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,235.7,214.9,631.8,515.1,534.2,102
54,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,266.5,251.7,453.0,452.5,451.5,102
55,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,256.2,244.1,461.5,458.0,461.8,102
56,BK 02,Fort Greene/Brooklyn Heights,Land Use and Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,35.9,40.3,42.8,,,102
57,BK 02,Fort Greene/Brooklyn Heights,Land Use and Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,151,0,380,"2,154",726,,102
58,BK 02,Fort Greene/Brooklyn Heights,Land Use and Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,86,488,"1,079","1,354","1,094",,102
59,BK 02,Fort Greene/Brooklyn Heights,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",81.5%,84.7%,87.3%,88.1%,,,102
60,BK 02,Fort Greene/Brooklyn Heights,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,35.7,34.3,35.2,34.8,,,102
61,BK 02,Fort Greene/Brooklyn Heights,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,24.1,21.4,21.3,18.7,18.6,102
62,BK 02,Fort Greene/Brooklyn Heights,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,16.6,14.6,14.9,12.3,12.8,102
63,BK 02,Fort Greene/Brooklyn Heights,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,7.5,6.8,6.4,6.4,5.8,102
64,BK 02,Fort Greene/Brooklyn Heights,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,63.4%,,,102
65,BK 02,Fort Greene/Brooklyn Heights,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,56.0%,,,102
